ID,category
C-169,Multidisciplinary Sciences
C-170,Music
C-171,Mycology
C-172,Nanoscience & Nanotechnology
C-173,Neuroimaging
C-174,Neurosciences
C-175,Nuclear Science & Technology
C-176,Nursing
C-177,Nutrition & Dietetics
C-178,Obstetrics & Gynecology
C-179,Oceanography
C-180,Oncology
C-181,Operations Research & Management Science
C-182,Ophthalmology
C-183,Optics
C-184,Ornithology
C-185,Orthopedics
C-186,Otorhinolaryngology
C-187,Paleontology
C-188,Parasitology
C-189,Pathology
C-190,Pediatrics
C-191,Peripheral Vascular Disease
C-192,Pharmacology & Pharmacy
C-193,Philosophy
C-194,Physical Sciences
C-195,"Physics, Applied"
C-196,"Physics, Atomic, Molecular & Chemical"
C-197,"Physics, Condensed Matter"
C-198,"Physics, Fluids & Plasmas"
C-199,"Physics, Mathematical"
C-200,"Physics, Multidisciplinary"
C-201,"Physics, Nuclear"
C-202,"Physics, Particles & Fields"
C-203,Physiology
C-204,Plant Sciences
C-205,Poetry
C-206,Political Science
C-207,Polymer Science
C-208,Primary Health Care
C-209,Psychiatry
C-210,Psychology
C-211,"Psychology, Applied"
C-212,"Psychology, Biological"
C-213,"Psychology, Clinical"
C-214,"Psychology, Developmental"
C-215,"Psychology, Educational"
C-216,"Psychology, Experimental"
C-217,"Psychology, Mathematical"
C-218,"Psychology, Multidisciplinary"
C-219,"Psychology, Psychoanalysis"
C-220,"Psychology, Social"
C-221,Public Administration
C-222,"Public, Environmental & Occupational Health"
C-223,Quantum Science & Technology
C-224,"Radiology, Nuclear Medicine & Medical Imaging"
C-225,Regional & Urban Planning
C-226,Rehabilitation
C-227,Religion
C-228,Remote Sensing
C-229,Reproductive Biology
C-230,Respiratory System
C-231,Rheumatology
C-232,Robotics
C-233,Social Issues
C-234,Social Sciences
C-235,"Social Sciences, Biomedical"
C-236,"Social Sciences, Interdisciplinary"
C-237,"Social Sciences, Mathematical Methods"
C-238,Social Work
C-239,Sociology
C-240,Soil Science
C-241,Spectroscopy
C-242,Sport Sciences
C-243,Statistics & Probability
C-244,Substance Abuse
C-245,Surgery
C-246,Telecommunications
C-247,Theater
C-248,Thermodynamics
C-249,Toxicology
C-250,Transplantation
C-251,Transportation
C-252,Transportation Science & Technology
C-253,Tropical Medicine
C-254,Urban Studies
C-255,Urology & Nephrology
C-256,Veterinary Sciences
C-257,Virology
C-258,Water Resources
C-259,Women's Studies
C-260,Zoology
